API v2.0.0
Time,P4,Fz,Pz,P3,PO8,PO7,Oz,Trial,Num_Sequences,Sequence,Tag,Label,Flash_Event
1.089351,-728.119000,-113.119563,-693.663511,-866.253272,-631.738282,-257.665976,-915.043086,-1,-1,-1,-1,-1,-1
1.093346,-712.166000,-97.466855,-677.410898,-851.199193,-619.975748,-226.720846,-890.702467,-1,-1,-1,-1,-1,-1
1.097324,-724.206000,-100.197782,-690.050124,-865.935958,-632.614386,-261.249041,-918.918590,-1,-1,-1,-1,-1,-1
1.101336,-725.109000,-100.199904,-693.350028,-873.131408,-626.932368,-277.743855,-926.711420,-1,-1,-1,-1,-1,-1
1.105298,-717.283000,-89.971562,-687.920931,-868.002173,-623.296834,-262.721633,-910.797359,-1,-1,-1,-1,-1,-1
1.109292,-726.313000,-91.193952,-692.456737,-866.844396,-656.870992,-255.560133,-902.752562,-1,-1,-1,-1,-1,-1
1.113283,-717.584000,-88.771099,-687.922318,-859.313958,-629.284895,-246.831133,-906.904549,0,6,0,0,0,0
1.117283,-710.962000,-95.662270,-685.195287,-858.085487,-616.377196,-237.210707,-915.559998,0,6,0,0,0,0
1.121260,-735.042000,-102.925879,-693.995026,-862.389214,-663.205440,-229.507393,-940.538672,0,6,0,0,0,0
1.125276,-725.109000,-98.698440,-687.657382,-862.643991,-646.687422,-244.161485,-931.504345,0,6,0,0,0,0
1.129255,-720.895000,-93.283269,-688.536802,-861.126755,-640.976827,-230.052680,-916.206706,0,6,0,0,0,0
1.133224,-704.942000,-83.336123,-674.681092,-845.773036,-625.622465,-196.109124,-887.971835,0,6,0,0,0,0
1.137217,-699.825000,-77.318245,-672.859835,-851.443094,-615.716361,-226.373550,-901.726978,0,6,0,0,0,0
1.141223,-698.019000,-78.214879,-667.158867,-845.442127,-615.107637,-205.377624,-896.625842,0,6,0,0,0,0
1.145204,-715.477000,-81.258830,-677.426156,-850.914507,-648.429544,-207.243809,-933.555101,0,6,0,0,0,0
1.149185,-716.079000,-80.359367,-676.230478,-851.516507,-649.330863,-215.641717,-932.060196,0,6,0,0,0,0
1.153198,-718.186000,-78.562562,-674.142897,-845.533214,-648.444673,-207.254226,-923.383114,0,6,0,0,0,0
1.157160,-706.748000,-71.628952,-665.101801,-840.387664,-620.544128,-202.712606,-914.042019,0,6,0,0,0,0
1.161154,-707.952000,-69.229440,-662.111219,-837.995978,-635.217483,-190.123846,-908.356189,0,6,0,0,0,0
1.165157,-713.972000,-67.742122,-662.138960,-838.622449,-649.019777,-188.347939,-925.759386,0,6,0,0,0,0
1.169144,-702.233000,-68.915708,-658.489510,-834.674102,-626.205974,-188.002958,-916.117291,0,6,0,0,0,0
1.173115,-696.514000,-53.887635,-656.365865,-827.756540,-616.895146,-166.991985,-899.015094,0,6,0,0,0,0
1.177125,-706.748000,-62.019586,-666.899478,-841.286586,-637.904630,-177.825671,-897.865896,0,6,0,0,0,0
1.181118,-707.651000,-69.829318,-666.604026,-843.388148,-631.923293,-179.328356,-909.552978,0,6,0,0,0,0
1.185094,-713.671000,-88.161318,-668.129832,-851.205991,-643.331035,-200.340485,-930.550870,0,6,0,0,0,0
1.189075,-697.718000,-81.217099,-657.869478,-838.549036,-618.997103,-193.382763,-908.007597,0,6,0,0,0,0
1.193065,-693.203000,-76.702099,-652.755252,-835.232598,-602.210024,-180.472171,-895.404536,0,6,0,0,0,0
1.197074,-681.464000,-64.963099,-644.911221,-827.688565,-601.246508,-176.828920,-856.106215,0,6,0,0,0,0
1.201063,-711.865000,-77.046245,-668.121510,-846.403586,-647.511415,-187.440310,-936.832931,0,6,0,0,0,0
1.205037,-715.477000,-71.048878,-678.324995,-849.715945,-650.225458,-191.651995,-940.744489,0,6,0,0,0,0
1.209023,-702.835000,-74.922977,-672.574092,-845.763520,-622.318189,-174.512356,-911.027692,0,6,0,0,0,0
1.213031,-699.524000,-83.323392,-675.854577,-849.943532,-626.190845,-184.994115,-902.624209,0,6,0,0,0,0
1.217016,-709.758000,-91.455343,-682.493222,-851.188317,-641.812587,-177.837245,-915.254672,0,6,0,0,0,0
1.220988,-708.855000,-87.849709,-681.290609,-851.783520,-628.637508,-181.431884,-908.959631,0,6,0,0,0,0
1.224977,-714.875000,-91.167074,-688.808674,-859.901003,-639.446612,-191.349837,-913.182284,0,6,0,0,0,0
1.228971,-726.313000,-91.193952,-694.853641,-866.245115,-652.081888,-191.093976,-928.814094,0,6,0,0,0,0
1.232957,-722.701000,-90.284586,-693.338931,-866.828082,-640.986913,-199.475680,-920.708726,0,6,0,0,0,0
1.236958,-718.487000,-86.671172,-685.229963,-862.614082,-638.269508,-194.961837,-918.591631,0,6,0,0,0,0
1.240948,-717.584000,-92.074318,-685.825028,-866.205689,-630.781490,-200.655374,-918.587304,0,6,0,0,0,0
1.244930,-716.079000,-89.668440,-686.117705,-862.603206,-633.167637,-195.252421,-920.676998,0,6,0,0,0,0
1.248915,-707.651000,-86.345416,-683.082738,-858.070532,-628.032146,-188.623476,-911.350325,0,6,0,0,0,0
1.252901,-703.136000,-89.037441,-677.968513,-850.559127,-622.619189,-170.615560,-906.835325,0,6,0,0,0,0
1.256895,-692.300000,-84.507587,-670.727868,-843.618454,-596.517920,-168.774837,-883.717454,0,6,0,0,0,0
1.260888,-691.999000,-84.807173,-673.722610,-839.422127,-610.883551,-156.779976,-869.337236,0,6,0,0,0,0
1.264880,-710.360000,-93.859099,-692.383223,-856.884206,-633.734336,-193.431374,-914.059325,0,6,0,0,0,0
1.268860,-707.952000,-89.349050,-691.173675,-858.970813,-619.652895,-193.721958,-926.629216,0,6,0,0,0,0
1.272851,-716.380000,-83.363001,-691.811738,-856.911396,-634.665913,-181.460819,-928.766502,0,6,0,0,0,0
1.276841,-717.283000,-79.461318,-688.520157,-859.911879,-645.745759,-187.461143,-935.361101,0,6,0,0,0,0
1.280837,-709.457000,-84.848196,-684.888738,-861.075094,-643.307501,-194.627272,-922.143060,0,6,0,0,0,0
1.284817,-705.544000,-85.139294,-680.975738,-857.162094,-634.605397,-187.416004,-918.529618,0,6,0,0,0,0
1.288812,-696.815000,-79.112928,-674.643642,-852.028781,-627.073673,-183.784328,-902.311672,0,6,0,0,0,0
1.292799,-691.397000,-74.295514,-673.420223,-852.903231,-627.043415,-184.962865,-910.673332,0,6,0,0,0,0
1.296792,-690.795000,-80.299953,-676.713192,-854.398715,-621.951630,-189.458189,-915.463373,0,6,0,0,0,0
1.300776,-687.183000,-82.693807,-672.501966,-844.194624,-618.638949,-160.659411,-893.278788,0,6,0,0,0,0
1.304768,-686.581000,-83.292978,-673.697643,-846.888669,-609.356698,-180.746550,-885.786957,0,6,0,0,0,0
1.308774,-696.213000,-84.216489,-679.734288,-850.228219,-625.573716,-180.783587,-932.863686,0,6,0,0,0,0
1.312763,-695.009000,-88.718051,-678.530288,-848.424937,-627.662225,-183.777383,-918.479142,0,6,0,0,0,0
1.316738,-697.718000,-93.829392,-680.640062,-852.931781,-633.963053,-181.688902,-905.012019,0,6,0,0,0,0
1.320726,-699.223000,-92.932051,-677.650868,-852.938578,-636.665329,-179.895634,-905.019230,0,6,0,0,0,0
1.324717,-697.718000,-90.826465,-680.939675,-855.328905,-632.466458,-174.792522,-909.804944,0,6,0,0,0,0
1.328712,-707.651000,-92.351270,-690.573062,-859.568735,-641.202182,-180.527726,-935.314951,0,6,0,0,0,0
1.332695,-706.146000,-97.452709,-681.577738,-855.366970,-636.703992,-162.531384,-920.629407,0,6,0,0,0,0
1.336683,-698.019000,-96.232441,-677.345707,-855.330264,-626.781078,-171.795254,-919.392237,0,6,0,0,0,0
1.340672,-687.785000,-95.007222,-672.504740,-851.388715,-614.451845,-174.154643,-907.360890,0,6,0,0,0,0
1.345023,-685.377000,-98.304783,-671.295192,-845.385029,-607.254741,-160.352624,-902.556427,0,6,0,0,0,0
1.348652,-687.785000,-100.112198,-670.107836,-850.190153,-594.996110,-162.760624,-897.175924,0,6,0,0,0,0
1.352643,-688.989000,-98.913856,-671.012223,-848.697388,-611.764698,-169.361791,-904.371080,0,6,0,0,0,0
