[2019/01/19][16:02:25:938][WARNING]	: Duplicate record detected: 31.696422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.756422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.756422,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.773088,
[2019/01/19][16:02:25:998][WARNING]	: Duplicate record detected: 31.773088,
[2019/01/19][16:02:26:028][WARNING]	: Duplicate record detected: 31.789755,
[2019/01/19][16:02:26:028][WARNING]	: Duplicate record detected: 31.789755,
[2019/01/19][16:02:26:053][WARNING]	: Sensors supplied duplicate data at time 32.3331 (classHeadset)
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.849755,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.849755,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.866422,
[2019/01/19][16:02:26:085][WARNING]	: Duplicate record detected: 31.866422,
[2019/01/19][16:02:26:117][WARNING]	: Duplicate record detected: 31.883088,
[2019/01/19][16:02:26:117][WARNING]	: Duplicate record detected: 31.883088,
[2019/01/19][16:02:26:117][WARNING]	: Duplicate record detected: 31.889755,
[2019/01/19][16:02:26:117][WARNING]	: Duplicate record detected: 31.889755,
[2019/01/19][16:02:26:143][WARNING]	: Sensors supplied duplicate data at time 32.4298 (classHeadset)
[2019/01/19][16:02:26:145][WARNING]	: Duplicate record detected: 31.913088,
[2019/01/19][16:02:26:145][WARNING]	: Duplicate record detected: 31.913088,
[2019/01/19][16:02:26:145][WARNING]	: Duplicate record detected: 31.929755,
[2019/01/19][16:02:26:145][WARNING]	: Duplicate record detected: 31.929755,
[2019/01/19][16:02:26:175][WARNING]	: Sensors supplied duplicate data at time 32.4431 (classHeadset)
[2019/01/19][16:02:26:175][WARNING]	: Sensors supplied duplicate data at time 32.4564 (classHeadset)
[2019/01/19][16:02:26:205][WARNING]	: Sensors supplied duplicate data at time 32.4698 (classHeadset)
[2019/01/19][16:02:26:209][WARNING]	: Duplicate record detected: 31.983088,
[2019/01/19][16:02:26:209][WARNING]	: Duplicate record detected: 31.983088,
[2019/01/19][16:02:26:237][WARNING]	: Duplicate record detected: 31.999755,
[2019/01/19][16:02:26:237][WARNING]	: Duplicate record detected: 31.999755,
[2019/01/19][16:02:26:265][WARNING]	: Sensors supplied duplicate data at time 32.5531 (classHeadset)
[2019/01/19][16:02:26:267][WARNING]	: Duplicate record detected: 32.029755,
[2019/01/19][16:02:26:267][WARNING]	: Duplicate record detected: 32.029755,
